"Translation Info:
#---------------------------
5047,56,68,"Mee waa’ee bishaan dhugdanii san Naaf himaa?",""
5048,56,69,"Sila duumessa irraa isintu isa buusee? Moo Nutu (isa) buusoo dha?",""
5049,56,70,"Odoo feenee soogiddoo (kuraawaa) isa taasifnaSila maaliif (Rabbiin) hin galatoomfanne?",""
5050,56,71,"Mee waa’ee ibidda qabsiifattanii san naaf himaa?",""
5051,56,72,"Sila muka ishee isintu biqilchee? Moo Nutu biqilchoo dha?",""
5052,56,73,"Nuti ibidda kana gorsaafi qananii imaltoonni itti fayyadaman ishee goone.",""
5053,56,74,"Maqaa Gooftaa kee Isa guddaa faarsi.",""
5054,56,75,"Seensa urjiiwwaniitiniin kakadha",""
5055,56,76,"Inni dhugumatti, odoo kan beektan ta’ee kakuu guddaadha.",""
5056,56,77,"Dhugumatti, inni Qur’aana kabajamaadha.",""
5057,56,78,"Kitaaba akkaan eegamaa (Lawhal Mahfuuz) keessa jira.",""
5058,56,79,"Warra qulqulluu malee (eenyulleen) isa hin tuqu.",""
5059,56,80,"Gooftaa aalama hundaa irraa buufamaadha.",""
5060,56,81,"Sila haasa’a kanaa kan isin laaffiftan?",""
5061,56,82,"(Galata) rizqii (rooba) keessanii kijibsiisuu gootanii?",""
5062,56,83,"Yeroo (lubbuun) kokkee geesse, (maaliif hin deebiftanuu)?",""
5063,56,84,"Odoo yeroo san isin ilaaltanuu,",""
5064,56,85,"Isin hin argitan malee Nuti isin caalaa gara isaatti dhihoo jirra.",""
5065,56,86,"Yoo (kaafamtanii) kan galata hin galfamne taatan (lubbuu san deebisaa).",""
5066,56,87,"Yoo kan dhugaa dubbattan taatan maaliif hin deebiftanu?",""
5067,56,88,"Yoo inni (namni du’e sun) namoota Rabbitti dhiyeeffaman irraa ta’e,",""
5068,56,89,"(Isaaf) haara galfii, gammachuufi jannata qananiitu jira.",""
5069,56,90,"Yoo inni warra mirgaa irraa ta’e immoo,",""
5070,56,91,"Warra mirgaa irraa waan taateef nagaan siif haa jiraatu” (isaan jedhama)",""
5071,56,92,"Yoo sobsiiftota jallattoota irraa ta’e immoo,",""
5072,56,93,"Isaaf afeerraa bishaan danfaa irraa ta’etu jira.",""
5073,56,94,"Jahiim seenuutu isaaf jira.",""
5074,56,95,"Dhugumatti, inni (wanti suuraan ibsite) kun haqa mirkanaa’aadha.",""
5075,56,96,"Maqaa Gooftaa kee guddaa ta’ee faarsi (qulqulleessi).",""
5076,57,1,"Wanti samiifi dachii keessa jiru hundi Rabbiin qulqulleesseInni injifataa, Ogeessa.",""
5077,57,2,"Mootummaan samiifi dachii kan IsaatiInni ni jiraachisa; ni ajjeesasInni waan hunda irratti danda’aadha.",""
5078,57,3,"Inni duruma jira; kan boodaatis; mul’ataadha; dhokataas (argaa dha); Inni waan hunda beekaadha.",""
5079,57,4,"Inni Isa samiifi dachii guyyoota jaha keessatti uumee; ergasii ‘Arshii’ irratti (ol ta’iinsa isaafmalu) ol ta’eedhaWaan dachii keessa gadi seenuufi waan ishee irraa ba’u, waan samii irraa bu’uufi waan ishee keessa ol ba’us ni beekaInni eessallee yoo jiraattan isin waliin jiraRabbiin waan isin dalagdan hunda ni arga",""
5080,57,5,"Mootummaan samiifi dachii kan IsaatiDhimmi hunduu gara Rabbiitti deebifamti.",""
5081,57,6,"Halkan guyyaa keessa galcha; guyyaas halkan keessa galchaInni beekaa waan qoma keessa jiruuti.",""
5082,57,7,"Rabbiifi ergamaa Isaatti amanaa; waan Inni isa keessatti bakka bu’aa isin taasise irraas kennadhaaIsin irraa isaan amananii, arjooman, isaaniif mindaa guddaatu jira",""
5083,57,8,"Odoo ergamaan akka gooftaa keessanitti amantaniif isin waamuu, odoo waadaa keessan isin irraa fuudhee jiruu, yoo mu’uminoota taataniif, sila maaltu isinii jiraaf Rabbitti amanuu diddan?",""
5084,57,9,"Inni Isa gabricha Isaa irratti keeyyattoota ifa ba’aa ta’an dukkana irraa gara ifaatti isin baasuuf jecha buuseedhaAllaah’n isin mararfataa, rahmata godhaadha.",""
5085,57,10,"Karaa Rabbii keessatti kan hin arjoomne maal taataniiti? Dhaalli samiifi dachiis kan Allaah qofaIsin irraa namni injifannoo (Makkaa) dura arjoomeefi qabsaa’e (isaan sana booda arjoomaniifi qabsaa’an wajjiin) wal hin qixxaa’anIsaan sun warra sana booda arjoomaniifi qabsaa’an irra sadarkaa guddaa qabuHundaa Rabbiin (mindaa) gaarii waadaa galeefii jiraRabbiin iccitii waan isin dalagdanii beekaadha.",""
5086,57,11,"Namni Rabbiif liqii gaarii liqeessee, Inni (Rabbiin) dachaa isaaf taasisuun mindaan gaariin isaaf ta’u eenyu laata?",""
5087,57,12,"Guyyaa mu’uminoota dhiiraafi dubartootaa kan ifaan isaanii fuuldura isaanitiifi mirga isaanii irra adeemu argitu “gammachuun keessan har’a, ishee keessatti hafaa taatanii oyruu jala ishee laggeen yaatuudha; Sanatu milkii guddaadha” (isaaniin jedhama).",""
5088,57,13,"Guyyaa munaafiqoonni dhiirotaafi dubartootaa isaan amananiin “nu eegaa! Ifaa keessan irraa qabsiifannaa!” jedhan, “Gara booda keessaniitti deebi’aa! Ifaa achii barbaadaa” jedhamaGidduu isaaniitti jogola (dahoo) balbala qabu kan keessa isaa rahmanni, ala isaa immoo adabbiin jirutu taasifama.",""
5089,57,14,"(Munaafiqoonni) isaan (mu’uminoota) waamaniiti “Nuti isin waliin hin turree?” (jedhuun)“Eeyyeen! Garuu isin lubbuu keessan jalliftanii, badii keenya eegaa turtanii, amantiis shakkitanii, hanga ajajni Rabbii dhufutti hawwiin sobaa isin gowwoomsitee, gowwoomsaan (sheyxaanni) (obsa) Rabbiitiin isin gowwoomse.",""
5090,57,15,"Har’a isiniifi isaan kafaran irraas kafaltiin hin fuudhamuTeessoon keessan ibidda ta’aIsheen jaallalloo keessaniDeebiin waa fokkate!",""
5091,57,16,"Warra amananiif, yeroon qalbiin isaanii zikrii Rabbiitiifi dhugaa irraa waan bu’eef laaftu hin dhihaannee? Akka warra isaaniin dura kitaaba kennamanii, yeroon itti dheerattee, qalbiin isaanii goggogdee, baay’een isaanii shari’aa irraa bahanii tahuu dhabutti (hin dhihaannee?)",""
5092,57,17,"Beekaa! Dhugumatti, Rabbiin dachii erga isheen duutee booda jiraachisaDhugumatti, akka isin hubattaniif jecha keeyyattoota (keenya) isiniif addeessinee jirra.",""
5093,57,18,"Dhiiroliin sadaqaa kennatan, dubartoonni sadaqaa kennatte, kanneen liqaa gaarii Rabbiif liqeessan, (mindaan isaanii) dachaa isaaniif ta’aMindaan gaarii ta’ees isaaniif jira",""
5094,57,19,"Isaan Rabbiifi ergamoota Isaatti amanani, isaantu warra dhugaan amananiidhaWareegamtoonni Gooftaa isaanii biratti mindaa isaanitiifi ibsaa isaaniitu isaaniif jiraIsaan kafaranii keeyyattoota keenya sobsiisan immoo isaan sun warra ibiddaati.",""
5095,57,20,"Jireenyi addunyaa tapha, gammachuu yeroo gabaabaa, miidhagina, dhaaddannoo gidduu keessaniitiifi qabeenyaafi ilmaan baay’ifatuu qofa akka ta’e beekaaAkka fakkeenya bokkaa, margi isaa qotee bulaa dinqisiisee, kan ergasii gogee daalachaa’aa ta’uu argitee, ergasii caccabaa ta’eetiAakhiratti adabbii cimaa, araaramaafi jaalala Rabbi irraa ta’etu jiraJireenyi addunyaa meeshaa daguuti malee waan biraatii miti.",""
5096,57,21,"Gara araarama Gooftaa keessan irraa ta’eefi jannata bal’inni ishee akka bal’ina samiifi dachii ta’eetti wal dorgomaaIsaan Rabbiifi ergamtoota Isaatti amananiif qophoofteKun tola Rabbii kan Inni nama fedheef kennuudhaRabbiin abbaa tola guddaati.",""
5097,57,22,"Rakkoo irraa wanti dachiifi lubbuu keessan keessatti isin tuqe kamillee, odoo ishee hin uumin dura kitaaba keessatti galmeessinu malee hin hafuDhugumatti, kun Rabbi irratti laafaadha.",""
5098,57,23,"Akka waan isin jalaa dabre irratti hin yaaddofneefi waan (Rabbiin) isiniif kennettis (garmalee) hin gammadneefi (kana godhe)Rabbiin nama boonaa, dhaaddataa hunda hin jaallatu.",""
5099,57,24,"Isaan warra doynoomanii, namallee doynummatti ajajaniidhaNamni (amantii irraa) garagales Rabbiin dureessa faarfamaadha.",""
5100,57,25,"Dhugumatti, ergamtoota keenya ragaawwan ifa ta’aniin erginee, kitaabaafi madaalas akka namoonni haqaan dhaabbataniif jecha isaan waliin buufnee jirraSibiilas kan isa keessa humna cimaafi namootaaf bu’aawwan jiru goonee buufneerraRabbiin nama Isaafi ergamtoota Isaa fagootti (ghaybiitti) tumsanu mul’isuuf (kana godhe)Dhugumatti, Rabbiin jabaa, injifataadha.",""
5101,57,26,"Dhugumatti, Nuuhiifi Ibraahiimiin erginee jirraSanyii isaan lamaanii keessatti nabiyyummaafi kitaaba goonee jirraIsaan irraa namoota qajeelantu jira; baay’een isaan irraa ta’an immoo finciltoota",""
5102,57,27,"Ergasii faana isaanii irra ergamtoota keenya hordofsiifneIisaa ilma Maryamis hordofsiifnee, Injiiliin isaaf kenninee jirraOnnee isaan isa (Iisaa) hordofanii keessattis namaaf rifatuufi gara laafummaa gooneMoloksummaas ni eegalanJaalala Rabbii barbaaduuf (eegalan) malee Nuti isaan irratti hin barreessine(Garuu ) dhugaa eeggachuu ishee hin eegganneIsaan irraa warra amananiif mindaa kenninaBaay’een isaanii immoo finciltoota.",""
5103,57,28,"Yaa warra (Muusaafi Iisaatti) amantan! Rabbiin sodaadhaaErgamaa Isaattis (Muhammadittis SAW) amanaa! (Rabbiin) rahmata Isaa irraa dachaa isiniif kenna; ifaa ittiin deemtanis isiniif taasisa; isiniifis ni araaramaRabbiin araaramaa, mararfataadha.",""
5104,57,29,"Abbootiin kitaabaa (Yahuudonniifi Kiristaanonni) qananii Rabbii irratti homaa murteessuu akka hin dandeenye, qananiin harka Rabbii akka jiruufi Inni nama fedheef akka kennu haa beekanuuf (kana ibse)Rabbiin abbaa tola guddaati.",""
5105,58,1,"Dhugumatti Rabbiin jecha ishee waa'ee abbaa manaa ishee keessatti siin wal –falmituufi gara Rabbiitti himannaa dhiyeeffattuu dhaga'eeraRabbiinis falmii keessan lamaan ni dhaga'aDhugumatti Rabbiin dhagayaa, argaadha.",""
5106,58,2,"Isaan isin keessaa dubartoota (haadhotii manaa) isaanii irraa ‘Zihaara’ godhan (‘ati anaaf akka dugda haadha kiyyaati’ jechuun kakatan), isaan (haadhotiin manaa) haadholii isaanii mitiHaadholiin isaanii isaanuma isaan da'an sana qofaDhugumatti, isaan jecha irraa isa fokkataafi soba ta'e dubbatuDhugumatti Rabbiinis dhiifama godhaa araaramaadha.",""
5107,58,3,"Isaan dubartoota isaanii irraa ""Zihaara"" godhanii ergasii waan jedhan keessa deebi'anus, odoo wal hin tuqin dura morma (gabraa) bilisa baasuutu isaan irra jiraKana akka isin ittiin gorfamtaniif (Rabbiin tume)Rabbiinis waan isin hojjattan keessa beekaadha.",""
5108,58,4,"Namni hin argatinis, odoo wal hin tuqin dura ji'oota walitti aanan lama soomuutu isaan irra jiraNamni (kanas) hin danda'in, miskiinoota (hiyyeeyyii) jaahaatama nyaachisuu qabaKun akka Rabbiifi ergamaa Isaatti amantaniifiAkkasumas, isheen kun daangaa RabbiitiKaafirootafis adabbii laaleessaa ta'etu jira.",""
5109,58,5,"Odoo Nuti dhugumaan ragaa ifaa buufnee jirruu warren Rabbiifi ergamaa Isaa faallessan akkuma warri isaaniin duraa salphatan salphataniiruKaafirootaafis adabbii xiqqeessaatu jira.",""
5110,58,6,"Guyyaa Rabbiin hunda isaanii kaasee waan isaan hojjatan isaanitti himu [yaadadhu](Isaan) kan dagatan ta’anii Rabbiin beekee galmeesseraRabbiinis waan hunda irratti ragaadha.",""
5111,58,7,"Sila Rabbiin waan samii keessa jiruufi waan dachii keessa jiru kan beeku ta'uu hin argituu? Maqoon (iccitiin) gidduu namoota sadiitti, Inni afraffaa isaanii ta'u malee hin argamu, giddu namoota shaniittis Inni jahaffaa isaanii ta'u malee, giddu namoota sanaa gadiis ta'ee kan sanaa olii iddoma isaan ta’anitti isaan waliin ta’u malee (hin argamu)Ergasii, Guyyaa Qiyaamaa waan isaan dalagan (hunda) isaanitti odeessaDhugumatti, Rabbiin waan hunda irratti beekaadha.",""
5112,58,8,"Sila gara warra iccitii (badaa) irraa dhorgamanii, ergasii gara waan irraa dhorgamanii deebi'anii, akkasumas badii, miidhaafi ergamicha faallessuu irratti wal mari'atanuu hin ilaallee? Yeroo sitti dhufanis waan Rabbiin ittiin nagaa si hin gaafatiniin nagaa si gaafatuLubbuu isaanii keessatti (Gidduu isaaniitti) ""dhuguma Muhammad yoo nabiyyii ta’eef) Rabbiin maaliif waan nuti jennuun nu hin adabne?"" jedhuJahannam isaaniif ga'aadha; ishee seenuDeebichi (isaanii) waa fokkate!",""
5113,58,9,"Yaa warra (Rabbitti) amantan! Yeroo iccitii dubbattan badii, miidhaafi faallaa ajaja ergamaa Rabbii irratti hin mari'atinaatii toltuufi sodaa Rabbii irratti mari'adhaaRabbii gara Isaatti oofamtanis sodaadhaa.",""
5114,58,10,"Dhugumatti, iccitiin (badaan) sheyxaana qofa irraayi(Sheyxaanni) warra amanan ittiin gaddisiisuf (kana hojjata)Eeyyama Rabbiitiin alas waan tokkollee isaan hin miidhuMu’uminoonnis Rabbiin qofa irratti haa hirkatan.",""
5115,58,11,"Yaa warra (Rabbitti) amantan! Yeroo teessumma keessa waliif babal'isaa isiniin jedhame waliif babal'isaa; Rabbiin isiniif bal'isaaYeroo ka'aa jedhames ka'aaRabbiin isin irraa warra amananiifi isaan beekumsi kennameef sadarkaa baay’ee isaan ol kaasaRabbiinis waan isin hojjattan keessa Beekaadha.",""
5116,58,12,".Yaa warra (Rabbitti) amantan! Yeroo ergamaa (Rabbii) wajjiin maqoo gochuu feetan, maqoo keessan dura sadaqaa heddu dursaa (kennaa)Kun isiniif irra caalaafi (dilii keessaniifis) irra qulquleessaadhaYoo (waan sadaqaa kennitan) hin argatin immoo, dhugumatti Rabbiin Araaramaa Rahmata Godhaadha.",""
5117,58,13,"Sila maqoo keessan (kan Nabiyyii SAW wajjiin gootan) dura sadaqaa dursuu sodaattanii? Yoo raawwachuu baattanis Rabbiin dhiifama isiniif godheeraSalaata dhaabaa; zakaas kennaa; Rabbiifi ergamaa Isaatiif ajajamaaRabbiin waan isin hojjattan keessa beekaadha.",""
5118,58,14,"Sila gara Isaan namoota Rabbiin itti dallane (Yahuudota) jaalallee godhatanii hin agarree? Isaan isin irraayis miti; isaan irraayis miti; odoo beekanuu kijiba irratti kakatu",""
5119,58,15,"Rabbiin adabbii cimaa isaanif qopheessee jiraDhugumatti, isaan wanti isaan hojjachaa turan waa fokkate!",""
5120,58,16,"Kakuu isaanii gaachena taasifatanii karaa Rabbii irraa (namoota) deebisuKanaafuu, isaaniif adabbii xiqqeessaatu jira.",""
5121,58,17,"Qabeenyi isaaniifi ijoolleen isaaniis (adabbii) Rabbii irraa wama tokko isaan hin duroomsanuIsaan sun warra Ibiddaati; isaan ishee keessatti hafoodha.",""
5122,58,18,"Guyyaa Rabbiin hunda isaanii (murtiif) kaasu sana akkuma isiniif kakataa turan Isaafis (Rabbiifis) kakatuWaan (haqa) wahii irra jiran of se'uDhagayaa! dhugumatti, isaanumatu sobdoota.",""
5123,58,19,"Sheyxaanni isaan irratti moo'ee faaruu Rabbii isaan dagachiiseeraIsaan garee sheyxaanatiDhaga'aa! Dhugumatti, gareen sheyxaanaa isaanumatu hoonga’oodha.",""
5124,58,20,"Isaan Rabbiifi ergamaa isaa faallessan, isaan sun warra gadi aanoo keessa ta’u..",""
5125,58,21,"Rabbiin ""dhugumatti, Anaafi Ergamtoonni Kiyya ni mo'anna"" (jechuun) murteesseeraDhugumatti, Rabbiin Jabaa, Injifataadha.",""
5126,58,22,"Ummata Rabbiifi Guyyaa Aakhiraatti amananu, namoota Rabbiifi ergamaa Isaa morman odoma abbootii isaanii, yookiin ilmaan isaanii, yookiin obboleeyyan isaanii, yookiin firoota isaanii ta'anillee, kan (isaan keessaan) jaallatanu hin argituIsaan sana (Rabbiin) onnee isaanii keessatti iimaana barreessee jira; tumsa Isa irraa ta'eenis isaan jabeesseeraJannatoota laggeen ishee jala yaatus achi keessaatti hafoo haala ta'aniin isaan seensisaRabbiin isaan irraa jaallateera; isaanis Isa irraa jaalataniiruIsaan garee RabbiitiDhagayaa! Dhugumatti, cifraan (gareen) Rabbii isaantu milkaawoodha.",""
5127,59,1,"Wantoonni samii keessaafi wantoonni dachii keessaa (hundi) Rabbiin qulqulleesseInnis Injifataa Ogeessa.",""
5128,59,2,"Inni Isa abbootii kitaabaa irraa isaan kafaran godaansa jalqabaatiif gandoota isaanii irraa baaseedhaBahuu isaanii isin hin yaadne turtanIsaanis da'annoowwan isaanii Rabbi irraa nu dhowwa jechuu yaadaniRabbiinis bakka isaan hin yaadin irraan isaanitti dhufee, onnee isaanii keessatti sodaa darbeManneen isaanii harka isaaniifi harka mu’uminootaatiin onsanYaa warra sammuu qabdan mee xiinxalaa!!",""
5129,59,3,"Odoo Rabbiin (Madiinaa keessaa) godaansa isaan irratti barreessuu baatee, silaa addunyaa keessatti isaan adabbii tureIsaaniifis Aakhiraa keessatti adabbii ibiddaatu jira.",""
5130,59,4,"Kun sababa isaan (ajaja) Rabbiifi ergamaa Isaa didaniifiNama (ajaja) Rabbii dide (Rabbiin isa adaba)Dhugumatti, Rabbiin adabbiin isaa cimaadha.",""
5131,59,5,"Muka timiraa irraa wanti isin murtan yookiin akkuma hundee ishee irra dhaabattetti dhiiftan eeyyama Rabbiitiini(wanti Rabbiin kana godheef) finciltoota salphisuufi.",""
5132,59,6,"Waan Rabbiin isaan (qabeenya isaanii) irraa ergamaa Isaa irratti deebise isin isa irratti fardaafi gaalas hin gulufsiifneGaruu Rabbiin ergamtoota Isaa abbaa fedhe irratti moosisaRabbiinis waan hunda irratti danda'aadha.",""
5133,59,7,"Wanti Rabbiin (qabeenya) warra magaalaa irraa ergamaa Isaa irratti deebise akka jidduu dureeyyii isin irraa ta'aniitti kan naanna'u hin taaneef jecha Rabbi, ergamaa, fira dhihoo (ergamaa), yatiimotaa, hiyyeeyyiifi nama imala irra jiruuf (haqa godhame)Waan Ergamichi (Kiyya) isiniif kennes qabadhaaWaan inni irraa isin dhowwes dhowwamaaRabbiinis sodaadhaaDhugumatti, Rabbiin adabbiin Isaa cimaadha.",""
5134,59,8,"Hiyyeeyyii godaantotaa warra tola Rabbiifi jaalala isaa barbaacha, akkasumas Rabbiifi ergamaa Isaa tumsuuf jecha manaafi qabeenya isaanii irraa baafamaniifis (ni kennama)Isaan sun isaanumatu warra dhugaati.",""
5135,59,9,"Warri isaaniin dura biyyattii qubsuma godhataniifi Iimaana qabatan, namoota gara isaanii godaanan ni jaallatuWaan (Muhaajirootaaf) kenname irrattis qoma isaanii keessatti jibbaa tokkollee hin arganuOdoma rakkoo cimaa qabaataniillee lubbuu isaanii irra (muhaajiroota) filatuNamoonni doynummaa lubbuu isaanii tiksanis, isaan warra milkaa’oodha.",""
5136,59,10,"Warri booda isaaniitii dhufanis ""Yaa Gooftaa keenya! Nuufi obboleeyyan keenya warra iimaanaan nu dursaniif araarami; akkasumas, onnee Keenya keessa jibbaa warra amananiif hin taasisinGooftaa keenya! Ati mararfataa rahmata oolaadha"" jedhu.",""
5137,59,11,"Sila gara warra munaafiqa ta'anii hin ilaallee? Obboleeyyan isaanii kan warra kitaabaa irraa ta'anii kafaraniin ""Yoo isin baafamtaniif isinii wajjiin baana; waa'ee keessan keessattis yoomuu, eenyuuniyyuu hin ajajamnu; yoo isin lolamtanis dhugaatti isin gargaarra"" jedhuRabbiinis akka isaan kijibdoota ta'an ragaa ba'a.",""
5138,59,12,"Odoo isaan baafamaniis isaanii wajjiin hin ba'anu; odoo isaan lolamaniiyyuu isaan hin tumsanu; odoma isaan tumsaniiyyuu dugda duuba gara galu (ni dheessu); ergasiihis hin tumsamanu.",""
5139,59,13,"Dhugumatti, isintu gama sodaatamuutiin onnee isaanii keessatti Rabbi irra cimaadhaKun waan isaan ummata hin hubanne ta'aniifi.",""
5140,59,14,"Yoo magaalota da'annaan marfamte keessa ta'an yookiin dallaa duubaan ta'e malee waliin ta'anii isin hin waraananuDiinummaan isaanii gidduu isaaniitti cimaadhaHaala onneen isaanii adda qoqqoodamee jiruun tokkummaa qaban isaan seetaKun waan isaan namoota hin xiinxalle ta'aniifi.",""
5141,59,15,"(Fakkeenyi isaanii) akka warra isaaniin dura yeroo dhihootti adabbii dalagaa isaanii dhandhamaniitiIsaaniifis adabbii laalessaatu jira.",""
5142,59,16,"Akka fakkii sheyxaanaa ilma namaatiin ""(Rabbitti) kafari"" jedhee erga inni kafaree booda immoo ""ani sirraa qulqulluudha; ani Rabbii Gooftaa aalamaan sodaadha"" jedheeti.",""
5143,59,17,"Xumurri isaan lamaaniituu keessatti hafoo ta'anii ibidda keessa ta'uudhaKun immoo mindaa miidhaa raawwattootaati.",""
5144,59,18,"Yaa warra amantan! Rabbiin sodaadhaaLubbuun kamuu waan boruuf dabarfatte haa ilaaltuAmmas Rabbiin sodaadhaaDhugumatti, Rabbiin waan isin hojjattan hunda keessa beekaadha.",""
5145,59,19,"Akka warra Rabbiin dagannaan lubbuu isaanii isaan dagachiisee hin ta'inaaIsaan isaanumatu finciltoota.",""
5146,59,20,"Warri ibiddaafi warri Jannataa wal hin qixxaatanuWarri Jannataa isaanumatu milkaa'oodha.",""
5147,59,21,"Odoo Qur'aana kana gaara irratti buufnee, silaa sodaa Rabbii irraa ka'ee kan inni xinnaatee dhodhooyu argita tureFakkeenyota kana akka isaan xiinxalaniif jecha namootaaf taasifna.",""
5148,59,22,"Inni Allaahn Isa gabbaramaan dhugaa isa malee hin jirre(Inni) Beekaa fagoofi dhihootiInni akkaan rahmataa godhaa akkaan mararfataadha.",""
5149,59,23,"Inni Allaahii Isa gabbaramaan dhugaa isa malee hin jirre, mootii, hir'ina irraa qulqulluu, abbaa nagayaa, nageenya arjoomaa, Qeexaa, injifataa, guddaa (ol ta'aa), boonaadhaWaan isaan qindeessan hunda irraa Rabbiin qulqullaa'e.",""
5150,59,24,"Inni Rabbii Uumaa (waan hundaa), (waan hin jirre) Argamsiisaa, bocaa ta'eedhaIsaaf maqoolee gaggaarii ta'antu jiraWantoonni samiifi dachii keessaa Isa qulqulleessu (faarsu)Inni Injifataa ogeessa.",""
5151,60,1,"Yaa warra amantan! Diina kiyyaafi diina keessan jaalallee hin godhatinaaOdoo isaan dhugaa irraa waan isinitti dhufetti kafaranii, sababa isin Rabbii Gooftaa keessan ta'etti amantaniif qofa Ergamichaafi isinis baasanii jiranuu isin gara isaaniitti jaalala dhaqqabsiiftuYoo karaa Kiyya keessatti qabsaa'uufi jaalala Kiyya barbaacha kan baatan taataniif (jaalalloo hin godhatinaa)Odoo ani waan isin dhoksitaniifi waan isin ifa gootan beekuu gara isaaniitti iccitiin jaalala dhaqqabsiiftuIsin irraa namni kana hojjate dhugumatti karaa qajeelaa irraa jallateera.",""
5152,60,2,"Yoo isin arganiif diinota isiniif ta'uHarkaafi arraba isaaniis hamtuun gara keessanitti diriirsuKafaruu keessanis ni jaalatu",""
5153,60,3,"Firoonni keessaniifi ilmaan keessanis homaa isin hin fayyadanu; Guyyaa Qiyaamaa (Rabbiin) addaan isin baasaRabbiinis waan isin hojjattan argaadha.",""
5154,60,4,"Dhugumatti, Ibraahimiifi warra isa wajjiin turan keessatti hidhannoon gaariin isiniif ta'eeraYeroo (isaan) ummata isaaniitiin ""nuti isiniifi waan isin Rabbiin alatti gabbartan irraa qulqulluudha; isinitti kafarre; hanga Rabbii tokkichatti amantanutti gidduu keenyaafi gidduu keessanitti diinummaafi jibbansi abadii ifa ba'eera"" jedhan (hidhannoon gaariin isiniif jira)Garuu jechi Ibraahiim abbaa isaatiin ""araaraman siif kadhaa (adabbii) Rabbii irraa immoo waan tokko siif hin fayyadu"" jedhe qoftii odoo hafuu""Gooftaa keenya! Sirratti hirkanne; gara Keettis deebine; deebiinis garuma kee qofa"" (jedhan san hordofaa)",""
